vm_id,name,power_state
vm-105810,Windows11-Codex-192.168.1.80,poweredOn
vm-86802,Log-Insight-8.18.0-10.0.10.87,poweredOff
vm-2224,ESXi7-04-10.0.10.14,poweredOff
vm-10812,NSXMgrT-10.0.10.22,poweredOff
vm-2222,ESXi7-02-10.0.10.12,poweredOff
vm-13801,ESXi-V2T-06-10.0.10.16,poweredOff
vm-2468,UP-TianAN,poweredOff
vm-2276,photon-ova,poweredOff
vm-1832,GitLab-192.168.1.51,poweredOff
vm-2238,AVI01-10.0.10.24,poweredOff
vm-10811,vCD-Cell-V2T-01-10.0.10.31,poweredOff
vm-992,Ubuntu-1804,poweredOff
vm-43801,AD-DNS-10.0.10.2,poweredOff
vm-2492,VMware-SHD-3.5.2-21331180-10.0.10.226,poweredOff
vm-2545,Ansible-10.0.10.87,poweredOff
vm-28809,Ubuntu2204-10.0.10.248,poweredOff
vm-2221,ESXi7-01-10.0.10.11,poweredOff
vm-2526,TanzuBootstrap-10.0.10.80,poweredOff
vm-40804,pso-git,poweredOff
vm-65803,LangGraph-192.168.1.58,poweredOff
vm-2241,Avi-se-ixnvl,poweredOff
vm-926,Windows 2016 Base,poweredOff
vm-39806,Proxmox VE-192.168.1.8,poweredOff
vm-2562,Harobr-Offline-Installer-10.76,poweredOff
vm-103802,NSX-T-4.1.1-10.0.80.26,poweredOff
vm-10804,ESXi-V2T-03-10.0.10.13,poweredOff
vm-39802,Ubuntu-24.04.1,poweredOff
vm-28836,VCF-ESXi-Empty,poweredOff
vm-2488,VMware-SHD-3.5.2-21331180,poweredOff
vm-60802,VCSA-IP-10.0.20.16,poweredOff
vm-69,VMAdmin,poweredOff
vm-10805,ESXi-V2T-04-10.0.10.14,poweredOff
vm-1560,LCM-Console-Template,poweredOff
vm-2201,WindowsServer2016-eCloud,poweredOff
vm-40805,pso-git-vc,poweredOff
vm-1821,CentOS7.9,poweredOff
vm-40801,gitlab-131-9-bak-20240120,poweredOff
vm-2385,Redhat 8.7,poweredOff
vm-4801,pfSense-192.168.1.11,poweredOn
vm-1515,LCM-Test,poweredOff
vm-2470,GZCM-CA,poweredOff
vm-105817,Ubuntu24-AICoder,poweredOn
vm-95807,ESXi8-01-10.0.80.11,poweredOn
vm-2467,VMware-SHD-3.5.1-20882484,poweredOff
vm-73808,VCSA8-1.16,poweredOn
vm-2266,CentOS7.7-1908,poweredOff
