name,ip_address,cpu_count,memory_mb,provisioned_gb,used_gb,datastore_names
Windows11-Codex-192.168.1.80,192.168.1.80,16,32768,132.11,132.11,"HDD-4T,NVMe-1T-02"
Log-Insight-8.18.0-10.0.10.87,,8,16384,546.61,473.14,HDD-4T
ESXi7-04-10.0.10.14,,8,32768,412.61,2.54,SSD-1T-03-91
NSXMgrT-10.0.10.22,,6,24576,592.82,298.09,HDD-4T
ESXi7-02-10.0.10.12,,8,32768,412.61,337.41,NVMe-1T-02
ESXi-V2T-06-10.0.10.16,,8,32768,41.11,0.98,HDD-4T
UP-TianAN,,4,8192,108.62,3.98,HDD-4T
photon-ova,,1,2048,18.59,16.0,SSD-1T-01-86
GitLab-192.168.1.51,,4,8192,108.62,11.59,HDD-4T
AVI01-10.0.10.24,,8,24576,152.62,78.28,SSD-1T-05-99
vCD-Cell-V2T-01-10.0.10.31,,8,16384,155.29,43.36,HDD-4T
Ubuntu-1804,,2,2048,102.6,4.35,HDD-4T
AD-DNS-10.0.10.2,,4,8192,108.62,27.88,SSD-1T-01-86
VMware-SHD-3.5.2-21331180-10.0.10.226,,4,16384,267.23,27.57,SSD-1T-02-83
Ansible-10.0.10.87,,2,4096,104.62,24.39,SSD-1T-05-99
Ubuntu2204-10.0.10.248,,4,8192,108.25,8.23,"SSD-1T-01-86,HDD-4T"
ESXi7-01-10.0.10.11,,8,32768,412.61,337.99,NVMe-1T-01
TanzuBootstrap-10.0.10.80,,8,16384,216.63,190.22,HDD-4T
pso-git,,2,4096,301.22,17.45,SSD-1T-03-91
LangGraph-192.168.1.58,,16,65536,259.61,96.02,SSD-1T-05-99
Avi-se-ixnvl,,1,2048,15.6,14.32,SSD-1T-02-83
Windows 2016 Base,,4,8192,108.62,28.97,HDD-4T
Proxmox VE-192.168.1.8,,16,65536,300.29,14.86,"HDD-4T,SSD-1T-03-91"
Harobr-Offline-Installer-10.76,,4,8192,108.62,3.36,HDD-4T
NSX-T-4.1.1-10.0.80.26,,6,24576,300.6,30.22,SSD-1T-05-99
ESXi-V2T-03-10.0.10.13,,8,32768,468.44,126.74,HDD-4T
Ubuntu-24.04.1,,4,8192,58.25,4.46,SSD-1T-01-86
VCF-ESXi-Empty,,12,77824,440.25,0.0,"SSD-1T-01-86,HDD-4T"
VMware-SHD-3.5.2-21331180,,4,16384,267.23,14.94,SSD-1T-03-91
VCSA-IP-10.0.20.16,,8,28672,978.2,41.81,SSD-1T-01-86
VMAdmin,,4,4096,66.34,22.4,HDD-4T
ESXi-V2T-04-10.0.10.14,,8,32768,485.43,133.7,HDD-4T
LCM-Console-Template,,8,16384,217.87,3.86,SSD-1T-03-91
WindowsServer2016-eCloud,,4,8192,109.86,51.46,NVMe-1T-01
pso-git-vc,,2,4096,301.22,9.47,SSD-1T-03-91
CentOS7.9,,2,4096,104.62,2.43,SSD-1T-02-83
gitlab-131-9-bak-20240120,,2,4096,106.23,46.1,SSD-1T-05-99
Redhat 8.7,,4,8192,48.62,2.01,HDD-4T
pfSense-192.168.1.11,192.168.1.11,2,4096,24.08,22.59,NVMe-1T-01
LCM-Test,,4,8192,48.62,2.29,HDD-4T
GZCM-CA,,4,8192,108.62,23.8,HDD-4T
Ubuntu24-AICoder,192.168.1.81,16,32768,232.11,42.85,"HDD-4T,SSD-1T-03-91"
ESXi8-01-10.0.80.11,10.0.80.11,12,77824,440.1,69.69,"HDD-4T,NVMe-1T-01"
VMware-SHD-3.5.1-20882484,,4,16384,267.23,31.17,SSD-1T-05-99
VCSA8-1.16,192.168.1.16,4,21504,2072.89,160.9,SSD-1T-04-93
CentOS7.7-1908,,4,8192,48.62,1.54,SSD-1T-01-86
gitlab-131-9,,2,4096,106.23,46.26,SSD-1T-04-93
VCSA8-10.0.30.21,,4,21504,723.07,42.7,SSD-1T-01-86
Nginx-192.168.1.19,,2,2048,52.62,1.86,HDD-4T
zabbix_appliance-7.4.5,,4,8192,10.74,2.14,SSD-1T-04-93
AVI-V2T-10.0.10.24,,8,24576,160.77,33.02,HDD-4T
VC-IP-Test-10.0.20.15,,8,32768,643.37,3.26,"HDD-4T,SSD-1T-03-91"
VCSA8-01-10.0.80.21,10.0.80.21,8,30720,945.9,93.63,SSD-1T-05-99
Bootstrap-Offline-10.0.10.78,,8,16384,306.87,216.53,HDD-4T
ESXi-V2T-05-10.0.10.15,,8,32768,442.15,77.69,HDD-4T
VCF-Offline-Depot,,4,8192,108.24,86.62,SSD-1T-05-99
template-CentOS7.8-2003,,2,4096,44.21,2.56,HDD-4T
Test-VM,,2,4096,104.62,2.28,SSD-1T-01-86
Nginx-10.0.10.200,,2,2048,52.62,1.88,SSD-1T-02-83
VMware-SHD-4.0.8-1.230,,4,16384,267.23,10.69,SSD-1T-01-86
PGAdmin4-Python3.12-192.168.1.81,,4,8192,116.36,7.76,NVMe-1T-01
DNS-10.0.10.254,10.0.10.254,2,4096,182.69,89.08,"HDD-4T,SSD-1T-05-99"
Template-RedHat7.2_50G,,4,8192,66.42,8.18,HDD-4T
VCSA-V2T-01-10.0.10.21,,4,19456,743.85,47.69,HDD-4T
vROPs-10.0.10.86,10.0.10.86,8,32768,523.68,253.74,SSD-1T-01-86
Win2019-1.17,,8,16384,116.63,9.79,SSD-1T-03-91
vRO-10.10,,4,12288,198.24,33.5,SSD-1T-01-86
vCLS-4c4c4544-0047-3710-8036-c8c04f595135,,1,160,0.0,0.0,
VCSA01-10.0.10.21,,8,19456,933.4,194.43,SSD-1T-04-93
