ip_address,host_name
169.254.87.220,esx05.vstecs.lab
,esx05.vstecs.lab
fe80::250:56ff:fe01:17f,esx05.vstecs.lab
192.168.10.81,esx05.vstecs.lab
192.168.51.85,esx05.vstecs.lab
192.168.10.11,esx05.vstecs.lab
192.168.115.93,esx05.vstecs.lab
192.168.10.91,esx05.vstecs.lab
172.20.10.215,esx05.vstecs.lab
10.3.10.250,esx05.vstecs.lab
172.20.10.200,esx05.vstecs.lab
172.20.10.215,esx05.vstecs.lab
192.168.51.43,esx05.vstecs.lab
192.168.52.10,esx05.vstecs.lab
10.3.2.103,esx05.vstecs.lab
,esx05.vstecs.lab
192.168.115.14,esx05.vstecs.lab
10.3.2.101,esx05.vstecs.lab
192.168.115.13,esx05.vstecs.lab
10.3.2.104,esx05.vstecs.lab
192.168.51.46,esx05.vstecs.lab
172.20.10.10,esx05.vstecs.lab
192.168.51.15,esx05.vstecs.lab
192.168.115.53,esx05.vstecs.lab
192.168.115.97,esx05.vstecs.lab
192.168.10.85,esx05.vstecs.lab
172.20.10.25,esx05.vstecs.lab
192.168.50.20,esx05.vstecs.lab
172.20.10.107,esx02.vstecs.lab
172.20.10.108,esx02.vstecs.lab
172.20.10.10,esx02.vstecs.lab
,esx02.vstecs.lab
169.254.139.137,esx02.vstecs.lab
192.168.115.95,esx02.vstecs.lab
192.168.115.99,esx02.vstecs.lab
169.254.140.177,esx02.vstecs.lab
,esx02.vstecs.lab
172.20.10.101,esx02.vstecs.lab
172.20.10.104,esx04.vstecs.lab
192.168.115.90,esx04.vstecs.lab
192.168.115.91,esx04.vstecs.lab
192.168.115.102,esx04.vstecs.lab
192.168.115.94,esx04.vstecs.lab
172.20.10.106,esx04.vstecs.lab
,esx04.vstecs.lab
192.168.10.70,esx04.vstecs.lab
192.168.50.30,esx04.vstecs.lab
172.20.10.105,esx04.vstecs.lab
,esx04.vstecs.lab
,esx04.vstecs.lab
192.168.115.96,esx04.vstecs.lab
172.20.10.102,esx04.vstecs.lab
192.168.115.51,esx04.vstecs.lab
,esx04.vstecs.lab
172.20.10.11,esx04.vstecs.lab
169.254.48.130,esx04.vstecs.lab
192.168.115.12,esx04.vstecs.lab
192.168.115.52,esx04.vstecs.lab
192.168.51.212,esx04.vstecs.lab
10.3.2.102,esx03.vstecs.lab
192.168.50.21,esx03.vstecs.lab
192.168.115.98,esx03.vstecs.lab
,esx03.vstecs.lab
192.168.115.101,esx03.vstecs.lab
172.20.10.103,esx03.vstecs.lab
192.168.115.100,esx03.vstecs.lab
172.20.10.12,esx03.vstecs.lab
192.168.10.10,esx03.vstecs.lab
192.168.115.92,esx03.vstecs.lab
,esx03.vstecs.lab
192.168.115.10,esx03.vstecs.lab
192.168.10.100,esx03.vstecs.lab
192.168.115.11,esx06.vstecs.lab
192.168.10.86,esx06.vstecs.lab
192.168.10.90,esx06.vstecs.lab
172.20.10.215,esx06.vstecs.lab
192.168.51.213,esx06.vstecs.lab
192.168.115.20,esx06.vstecs.lab
172.20.10.13,esx06.vstecs.lab
192.168.115.54,esx06.vstecs.lab
,esx06.vstecs.lab
172.20.10.14,esx06.vstecs.lab
192.168.51.12,esx06.vstecs.lab
