vm_id,name,power_state
vm-1405,esx-7.vcf.sddc.local,poweredOn
vm-1487,yh-ESXi-09-192.168.115.99,poweredOn
vm-1356,ESX04-hKEv,poweredOn
vm-1521,holorouter-9.0.2.0424-Template,poweredOff
vm-1402,esx-5.vcf.sddc.local,poweredOn
vm-1403,esx-6.vcf.sddc.local,poweredOn
vm-1357,ESX02-JLiB,poweredOn
vm-1404,esx-8.vcf.sddc.local,poweredOn
vm-1501,ConsoleVM-vwkl,poweredOff
vm-100,nsx01,poweredOn
vm-1476,yh-WinConsole-192.168.51.85,poweredOn
vm-58,AD02,poweredOn
vm-62,VCDNFS,poweredOn
vm-1373,esx-1.vcf.sddc.local,poweredOn
vm-1170,VCF-installer-ezEo,poweredOn
vm-1217,vcf-offline-depot-appliance-rtMc,poweredOn
vm-1355,ConsoleVM-XjPa,poweredOn
vm-1358,VCF-Installer-3zqf,poweredOn
vm-1409,rxu-jumpserver,poweredOn
vm-1482,yh-ESXi-05-192.168.115.95,poweredOn
vm-1130,Powercli,poweredOff
vm-1188,SW-ESXi04,poweredOn
vm-1187,SW-ESXi03,poweredOn
vm-1449,rxu-jump-linux,poweredOn
vm-1164,ConsoleVM-OQGJ,poweredOn
vm-1218,SW-Console-Linux,poweredOn
vm-1354,ESX01-GHca,poweredOn
vm-1442,SW-ESXi53,poweredOn
vm-1485,yh-ESXi-07-192.168.115.97,poweredOn
vm-1243,Edge01,poweredOn
vm-1418,ServiceVM,poweredOn
vm-1353,ESX03-GfR7,poweredOn
vm-1160,vRouter-7b6B,poweredOn
vm-1554,yh-ESXi-20-192.168.115.110,poweredOn
vm-1553,yh-ESXi-19-192.168.115.109,poweredOn
vm-1550,yh-ESXi-17-192.168.115.107,poweredOn
vm-1505,ESX01-r4Dt,poweredOff
vm-1376,esx-4.vcf.sddc.local,poweredOn
vm-1507,VCSA01-192.168.115.90,poweredOn
vm-1446,Ubuntu24Desktop-ConsoleVM-Template,poweredOff
vm-1502,ESX04-wTGv,poweredOff
vm-1452,VCFOfflineDepot-dont delete!!,poweredOn
vm-1412,VYOS,poweredOn
vm-1506,ESX03-7QQ6,poweredOff
vm-1503,VCF-Installer-gAZk,poweredOff
vm-1374,esx-2.vcf.sddc.local,poweredOn
vm-1477,yh-esxi-template,poweredOff
vm-1440,SW-ESXi51,poweredOn
vm-1239,ESX01-ZuwL,poweredOn
vm-1401,ConsoleVM,poweredOn
vm-1552,yh-ESXi-18-192.168.115.108,poweredOn
vm-1186,SW-ESXi02,poweredOn
vm-1441,SW-ESXi52,poweredOn
vm-1563,liufei-consolevm-kN1I,poweredOn
vm-1545,liufei-vcfinstaller-a (de205915-c8cf-46dd-9ff8-ce53eea4eaf4),poweredOn
vm-1544,liufei-esx-04a (9a195dc6-e01f-447b-83b8-7d98f2a7a19a),poweredOn
vm-1541,liufei-esx-01a (40062472-7276-431a-ada3-aecc98b06046),poweredOn
vm-1480,yh-ESXi-03-192.168.115.93,poweredOn
vm-1352,vRouter-9cA9,poweredOn
vm-1486,yh-ESXi-08-192.168.115.98,poweredOn
vm-1504,ESX02-u79O,poweredOff
vm-1542,liufei-esx-02a (a70c0506-813b-4d3c-88ab-5e8939951e79),poweredOn
vm-1378,holodeck-dev-MqbM,poweredOn
vm-1488,yh-ESXi-11-192.168.115.101,poweredOn
vm-1500,vRouter-mgE1,poweredOn
vm-1375,esx-3.vcf.sddc.local,poweredOn
vm-1551,Ubuntu24Desktop-ConsoleVM-Template-v0.45,poweredOff
vm-1483,yh-ESXi-10-192.168.115.100,poweredOn
vm-1240,ESX02-EK1b,poweredOn
vm-18,AD01,poweredOn
vm-1479,yh-ESXi-02-192.168.115.92,poweredOn
vm-1336,sh-consoleVM,poweredOn
vm-1190,SW-AD,poweredOn
vm-19,VCSA,poweredOn
vm-1548,yh-ESXi-15-192.168.115.105,poweredOn
vm-1549,yh-ESXi-16-192.168.115.106,poweredOn
vm-1484,yh-ESXi-06-192.168.115.96,poweredOn
vm-1478,yh-ESXi-01-192.168.115.91,poweredOn
vm-1481,yh-ESXi-04-192.168.115.94,poweredOn
vm-1543,liufei-esx-03a (ac18cde0-6093-4a56-ae4b-2a0ea0ad9035),poweredOn
vm-1473,opspilot_192.168.51.169,poweredOn
vm-1547,yh-ESXi-14-192.168.115.104,poweredOn
vm-1184,SW-ESXi01,poweredOn
vm-1489,yh-ESXi-12-192.168.115.102,poweredOn
vm-1244,Edge02,poweredOn
vm-1032,VCD-VSTECS-Lab,poweredOn
vm-1453,sa-vcfinstaller-01.vcf.sddc.local,poweredOn
vm-1215,SW-VC8,poweredOn
vm-1546,yh-ESXi-13-192.168.115.103,poweredOn
vm-1241,ESX03-NnHT,poweredOn
vm-1561,Ubuntu24Desktop-ConsoleVM-Template-rB8D,poweredOff
vm-1443,SW-ESXi54,poweredOn
vm-1359,consolevm-linshi,poweredOff
vm-1242,ESX04-Nn8U,poweredOn
vm-1195,SW-Console-Win,poweredOn
